iter	RMSE
0	10982.51223
1	10216.40659
2	9635.511014
3	9025.132612
4	8537.30762
5	8108.987109
6	7704.984748
7	7369.828252
8	7087.706957
9	6726.15001
10	6438.859375
11	6213.973253
12	6015.724919
13	5783.743604
14	5593.180783
15	5462.103597
16	5324.342757
17	5193.32012
18	5077.640073
19	4974.298391
20	4876.020963
21	4794.01065
22	4702.041333
23	4640.679739
24	4569.203364
25	4501.322574
26	4423.088102
27	4367.741309
28	4321.833297
29	4270.926222
30	4217.837355
31	4166.34225
32	4126.152283
33	4096.718806
34	4059.608727
35	4027.639927
36	3990.936297
37	3953.534792
38	3925.01047
39	3894.340489
40	3869.981485
41	3846.571325
42	3831.285877
43	3808.745316
44	3784.483989
45	3772.154904
46	3743.697134
47	3733.015747
48	3712.6301
49	3690.311973
50	3678.149312
51	3667.547786
52	3642.323972
53	3620.907682
54	3604.377307
55	3580.776811
56	3560.411944
57	3549.829937
58	3537.907297
59	3521.0241
60	3504.410966
61	3481.250646
62	3455.824519
63	3448.205131
64	3437.354949
65	3417.769406
66	3407.422125
67	3388.965009
68	3372.539509
69	3355.406665
70	3342.729161
71	3334.100855
72	3323.38016
73	3313.204524
74	3293.588551
75	3278.679211
76	3265.058014
77	3245.69364
78	3234.398012
79	3219.611716
80	3213.954164
81	3189.297383
82	3184.3355
83	3170.085321
84	3161.924743
85	3142.584617
86	3126.660458
87	3113.646466
88	3107.256694
89	3093.116791
90	3090.363701
91	3082.571652
92	3064.517807
93	3059.414586
94	3055.062843
95	3051.785979
96	3046.460293
97	3038.570181
98	3032.314406
99	3023.274527
