iter	Passed	Remaining
0	3	304
1	4	226
2	7	235
3	10	248
4	11	217
5	15	237
6	19	256
7	21	252
8	22	230
9	27	243
10	28	228
11	31	234
12	33	226
13	36	224
14	39	222
15	43	228
16	45	221
17	48	219
18	51	217
19	54	217
20	56	212
21	59	211
22	61	206
23	63	199
24	65	197
25	68	194
26	71	192
27	74	191
28	77	188
29	79	185
30	82	182
31	84	179
32	89	180
33	91	178
34	94	176
35	97	173
36	100	170
37	103	169
38	106	166
39	108	163
40	111	160
41	114	157
42	118	156
43	120	153
44	123	151
45	125	147
46	128	144
47	131	142
48	133	139
49	136	136
50	138	133
51	140	129
52	143	126
53	145	123
54	148	121
55	151	118
56	153	115
57	156	113
58	158	110
59	161	107
60	164	105
61	167	102
62	169	99
63	171	96
64	174	93
65	176	90
66	215	106
67	218	102
68	221	99
69	224	96
70	227	92
71	230	89
72	232	86
73	235	82
74	238	79
75	241	76
76	253	75
77	257	72
78	259	69
79	262	65
80	265	62
81	268	58
82	271	55
83	274	52
84	277	48
85	279	45
86	282	42
87	296	40
88	298	36
89	301	33
90	304	30
91	320	27
92	323	24
93	326	20
94	329	17
95	331	13
96	334	10
97	336	6
98	338	3
99	341	0
