iter	Passed	Remaining
0	2	2098
1	4	2073
2	5	1851
3	8	2052
4	10	2125
5	13	2181
6	15	2137
7	16	2087
8	18	2014
9	19	1965
10	22	2001
11	24	1987
12	25	1961
13	26	1899
14	29	1916
15	30	1904
16	34	1984
17	36	1974
18	37	1937
19	39	1941
20	41	1933
21	43	1925
22	45	1922
23	47	1922
24	53	2078
25	54	2059
26	56	2042
27	58	2024
28	60	2037
29	62	2011
30	66	2071
31	69	2101
32	71	2089
33	73	2074
34	75	2069
35	77	2073
36	79	2074
37	81	2072
38	83	2058
39	86	2065
40	87	2053
41	89	2046
42	94	2105
43	98	2142
44	100	2123
45	101	2104
46	102	2087
47	105	2083
48	110	2135
49	111	2113
50	112	2085
51	113	2075
52	115	2064
53	117	2055
54	119	2058
55	122	2063
56	124	2054
57	126	2047
58	127	2040
59	129	2026
60	130	2012
61	133	2022
62	135	2022
63	138	2024
64	139	2002
65	140	1994
66	143	1999
67	145	1992
68	147	1985
69	151	2015
70	153	2007
71	155	2000
72	158	2008
73	159	1994
74	161	1986
75	162	1977
76	166	1992
77	169	2008
78	172	2005
79	175	2014
80	177	2013
81	179	2006
82	181	2009
83	183	2005
84	186	2010
85	193	2053
86	196	2059
87	197	2046
88	199	2042
89	200	2026
90	203	2028
91	204	2022
92	207	2025
93	209	2020
94	213	2034
95	214	2022
96	215	2006
97	217	1998
98	218	1992
99	220	1985
100	230	2053
101	232	2046
102	233	2036
103	235	2028
104	236	2013
105	241	2038
106	244	2036
107	246	2033
108	247	2026
109	249	2020
110	251	2015
111	253	2010
112	257	2019
113	258	2007
114	260	2008
115	261	1995
116	263	1989
117	267	2002
118	272	2015
119	273	2005
120	275	2004
121	278	2002
122	281	2010
123	289	2044
124	291	2042
125	293	2032
126	294	2027
127	296	2021
128	298	2014
129	300	2009
130	302	2006
131	303	1998
132	306	1995
133	308	1993
134	310	1991
135	317	2019
136	322	2029
137	324	2024
138	325	2018
139	328	2015
140	329	2010
141	333	2012
142	334	2003
143	336	1999
144	338	1993
145	339	1986
146	341	1979
147	343	1975
148	344	1968
149	346	1963
150	348	1960
151	350	1958
152	355	1967
153	357	1962
154	358	1955
155	360	1949
156	363	1949
157	364	1945
158	367	1942
159	368	1934
160	370	1929
161	372	1926
162	373	1920
163	375	1915
164	419	2125
165	421	2119
166	423	2112
167	425	2106
168	427	2100
169	429	2096
170	431	2091
171	433	2084
172	434	2079
173	437	2074
174	437	2064
175	440	2060
176	442	2058
177	444	2053
178	446	2048
179	476	2168
180	477	2162
181	479	2156
182	482	2152
183	484	2146
184	486	2141
185	491	2148
186	493	2144
187	495	2140
188	497	2135
189	502	2140
190	508	2153
191	510	2149
192	518	2168
193	534	2219
194	536	2213
195	537	2206
196	539	2199
197	541	2195
198	543	2188
199	549	2198
200	551	2192
201	553	2186
202	555	2181
203	557	2176
204	559	2171
205	562	2166
206	564	2162
207	568	2166
208	612	2316
209	613	2309
210	614	2299
211	617	2293
212	619	2288
213	624	2292
214	628	2296
215	631	2290
216	633	2284
217	634	2277
218	638	2277
219	640	2272
220	642	2266
221	644	2260
222	646	2253
223	648	2246
224	680	2343
225	682	2337
226	684	2331
227	687	2328
228	689	2322
229	691	2316
230	693	2308
231	695	2303
232	698	2298
233	705	2310
234	707	2304
235	709	2298
236	712	2293
237	714	2288
238	726	2313
239	734	2326
240	737	2323
241	740	2320
242	742	2313
243	747	2316
244	749	2309
245	783	2402
246	790	2410
247	793	2404
248	798	2407
249	800	2402
250	803	2396
251	805	2391
252	808	2388
253	815	2395
254	818	2390
255	820	2383
256	822	2376
257	824	2369
258	825	2362
259	829	2359
260	830	2352
261	832	2346
262	834	2338
263	836	2331
264	838	2324
265	839	2317
266	841	2311
267	845	2308
268	846	2301
269	848	2293
270	849	2286
271	851	2279
272	853	2272
273	854	2265
274	856	2258
275	858	2252
276	861	2248
277	863	2243
278	866	2238
279	868	2232
280	870	2226
281	876	2230
282	877	2223
283	879	2217
284	880	2210
285	882	2203
286	884	2196
287	885	2189
288	887	2182
289	889	2177
290	891	2171
